"scientificName"
"Halictus ligatus Say, 1837"
"Halictus tripartitus Cockerell, 1895"
"Halictus rubicundus (Christ, 1791)"
"Halictus farinosus Smith, 1853"
"Anthophora centriformis Cresson, 1879"
"Anthophora urbana Cresson, 1879"
"Anthophora ursina Cresson, 1869"
"Diadasia enavata (Cresson, 1872)"
"Centris californica Timberlake, 1940"
"Xeromelecta californica (Cresson, 1879)"
"Anthophorula chionura (Cockerell, 1925)"
"Megachile angelarum Cockerell, 1902"
"Megachile fidelis Cresson, 1878"
"Megachile rotundata (Fabricius, 1793)"
"Chelostoma californicum Cresson, 1878"
"Protosmia rubifloris (Cockerell, 1898)"
"Osmia cobaltina Cresson, 1878"
"Osmia lignaria Say, 1837"
"Osmia calla Cockerell, 1897"
"Calliopsis edwardsii Cresson, 1878"
"Calliopsis barbata (Timberlake, 1952)"
"Lasioglossum incompletum (Crawford, 1907)"
"Bombus crotchii Cresson, 1879"
"Bombus melanopygus Nylander, 1848"
"Bombus sonorus Say, 1837"
"Bombus vosnesenskii Radoszkowski, 1862"
"Apis mellifera Linnaeus, 1758"
"Andrena plana Viereck, 1904"
"Andrena prunorum Cockerell, 1896"
"Perdita confusa Timberlake, 1964"
"Perdita maculosa Timberlake, 1958"
"Perdita callicerata Cockerell, 1897"
"Perdita nasuta Timberlake, 1962"
"Panurginus atriceps (Cresson, 1878)"
"Panurginus ceanothi Michener, 1936"
"Panurginus occidentalis (Crawford, 1916)"
"Xylocopa californica californica"
"Svastra obliqua expurgata (Cockerell, 1925)"
"Oreopasites vanduzeei Cockerell, 1925"
"Anthophorula euphorbiae (Timberlake, 1947)"
"Megachile perihirta Cockerell, 1898"
"Hoplitis fulgida (Cresson, 1864)"
"Pseudopanurgus californicus (Cresson, 1878)"
"Lasioglossum punctatoventre (Crawford, 1907)"
"Hylaeus rugulosus (Perkins, 1899)"
"Colletes hyalinus Provancher, 1888"
"Bombus bifarius Cresson, 1879"
"Bombus fervidus (Fabricius, 1798)"
"Anthidium clypeodentatum Swenk, 1914"
"Xylocopa tabaniformis orpifex Smith, 1874"
"Diadasia nigrifrons (Cresson, 1879)"
"Trachusa timberlakei (Schwarz, 1928)"
"Osmia kincaidii Cockerell, 1897"
"Osmia subaustralis Cockerell, 1900"
"Colletes consors Cresson, 1868"
"Bombus flavifrons Cresson, 1864"
"Hylaeus verticalis (Cresson, 1869)"
"Perdita koebelei Timberlake, 1964"
"Perdita polytropica Timberlake, 1962"
"Melissodes stearnsi Cockerell, 1905"
"Ashmeadiella micheneri Snelling, 1962"
"Osmia albolateralis Cockerell, 1906"
"Osmia cara Cockerell, 1910"
"Osmia nigrifrons Cresson, 1878"
"Hoplitis jacintana (Cockerell, 1910)"
"Coelioxys rufitarsis Smith, 1854"
"Calliopsis trifolii (Timberlake, 1952)"
"Hylaeus nevadensis (Cockerell, 1896)"
"Hylaeus rudbeckiae (Cockerell & Casad, 1895)"
"Hylaeus wootoni (Cockerell, 1896)"
"Perdita chrysothamni Timberlake, 1958"
"Macrotera echinocacti (Timberlake, 1954)"
"Perdita interserta Cockerell, 1922"
"Perdita heliotropii Cockerell, 1900"
"Nomada edwardsii Cresson, 1878"
"Anthophorula albicans (Provancher, 1896)"
"Dianthidium ulkei (Cresson, 1878)"
"Hoplitis remotula (Cockerell, 1910)"
"Coelioxys apacheorum Cockerell, 1900"
"Calliopsis linsleyi (Rozen, 1958)"
"Calliopsis fracta (Rozen, 1952)"
"Calliopsis cinctus Cresson, 1879"
"Bombus insularis (Smith, 1861)"
"Andrena transnigra Viereck, 1904"
"Perdita claypolei limatula Timberlake, 1962"
"Melissodes lupina Cresson, 1879"
"Centris hoffmanseggiae Cockerell, 1897"
"Anthidiellum notatum robertsoni (Cockerell, 1904)"
"Osmia montana Cresson, 1864"
"Sphecodes pecosensis Cockerell, 1904"
"Lasioglossum tegulariforme (Crawford, 1907)"
"Epeolus axillaris Onuferko, 2018"
"Xylocopa sonorina Smith, 1874"
"Ceratina apacheorum Daly, 1973"
"Lasioglossum brunneiventre (Crawford, 1907)"
"Triepeolus melanarius Rightmyer, 2008"
"Bombus edwardsii Cresson, 1879"
"Bombus rufocinctus Cresson, 1864"
"Halictus confusus Smith, 1853"
"Centris rhodoleuca Cockerell, 1923"
"Centris tiburonensis Cockerell, 1923"
"Colletes rudis Timberlake, 1951"
"Colletes sphaeralceae Timberlake, 1951"
"Colletes cercidii Timberlake, 1951"
"Colletes productus Robertson, 1891"
"Agapostemon texanus Cresson, 1872"
"Centris hoffmanseggiae davidsoni Cockerell, 1904"
"Hypomacrotera callops persimilis Cockerell, 1900"
"Pseudomelecta pasadenensis Cockerell, 1910"
"Apis nearctica Engel et al., 2009"
"Stelis semirubra Timberlake, 1941"
"Hesperapis laticeps Crawford, 1917"
"Bombus sitkensis Nylander, 1848"
"Bombus nevadensis Cresson, 1874"
"Bombus occidentalis Greene, 1858"
"Bombus californicus Smith, 1854"
"Bombus griseocollis (De Geer, 1773)"
"Bombus vandykei (Frison, 1927)"
"Bombus mixtus Cresson, 1879"
"Bombus huntii Greene, 1860"
"Melissodes robustior Cockerell, 1915"
"Bombus suckleyi Greene, 1860"
"Perdita punctosignata sulphurea Timberlake, 1964"
"Bombus perplexus Cresson, 1864"
"Perdita triangulifera Timberlake, 1964"
"Osmia neocyanopoda Rust & Bohart, 1986"
"Andrena lativentris Timberlake, 1951"
"Hesperapis arenicola Crawford, 1917"
"Bombus sylvicola Kirby, 1837"
"Bombus appositus Cresson, 1879"
"Halictus nevadensis Crawford, 1907"
"Bombus morrisoni Cresson, 1879"
"Bombus fernaldae (Franklin, 1911)"
"Stelis carnifex Cockerell, 1911"
"Bombus centralis Cresson, 1864"
"Bombus caliginosus (Frison, 1927)"
"Bombus pensylvanicus (De Geer, 1773)"
"Megachile alata Mitchell, 1934"
"Megandrena koebelei Timberlake, 1951"
"Andrena radialis Timberlake, 1951"
"Andrena haroldi Timberlake, 1951"
"Nomada odontocera Cockerell, 1916"
"Perdita subglabra Timberlake, 1971"
"Xenoglossa patricia angustior Cockerell, 1899"
"Bombus ternarius Say, 1837"
"Bombus terricola Kirby, 1837"
"Anthophora stanfordiana Cockerell, 1904"
"Colletes ciliatoides Stephen, 1954"
"Perdita prosopidis Timberlake, 1964"
"Andrena amphibola (Viereck, 1904)"
"Andrena angustitarsata Viereck, 1904"
"Andrena anisochlora Cockerell, 1936"
"Andrena birtwelli Cockerell, 1901"
"Andrena boronensis Linsley & MacSwain, 1962"
"Andrena buckelli Viereck, 1924"
"Andrena caerulea Smith, 1879"
"Andrena candida Smith, 1879"
"Andrena candidiformis Viereck & Cockerell, 1914"
"Andrena ceanothifloris cretata LaBerge, 1980"
"Andrena cercocarpi Cockerell, 1936"
"Andrena chapmanae Viereck, 1904"
"Andrena chlorogaster Viereck, 1904"
"Andrena cleodora (Viereck, 1904)"
"Andrena cleodora melanodora Cockerell, 1932"
"Andrena crataegi Robertson, 1893"
"Andrena cryptanthae Timberlake, 1951"
"Andrena cupreotincta Cockerell, 1901"
"Andrena edwardsi Viereck, 1916"
"Andrena flandersi Timberlake, 1937"
"Andrena fracta Casad & Cockerell, 1896"
"Andrena fuscicauda (Viereck, 1904)"
"Andrena hypoleuca Cockerell, 1939"
"Andrena linsleyi Timberlake, 1937"
"Andrena macrocephala Cockerell, 1916"
"Andrena melanochroa Cockerell, 1898"
"Andrena merriami Cockerell, 1901"
"Andrena microchlora Cockerell, 1922"
"Andrena miranda Smith, 1879"
"Andrena nigricula LaBerge & Bouseman, 1977"
"Andrena oenotherae Timberlake, 1937"
"Andrena omninigra Viereck, 1917"
"Andrena orthocarpi Cockerell, 1936"
"Andrena osmioides Cockerell, 1916"
"Andrena pallidifovea (Viereck, 1904)"
"Andrena pallidiscopa (Viereck, 1904)"
"Andrena pensilis Timberlake, 1938"
"Andrena piperi Viereck, 1904"
"Andrena quintiliformis Viereck, 1917"
"Andrena scurra Viereck, 1904"
"Andrena subtrita Cockerell, 1910"
"Andrena torulosa LaBerge, 1971"
"Andrena walleyi Cockerell, 1932"
"Andrena w-scripta Viereck, 1904"
"Megachile brevis Say, 1837"
"Megachile coquilletti Cockerell, 1915"
"Megachile gentilis Cresson, 1872"
"Megachile onobrychidis Cockerell, 1908"
"Lasioglossum perichlarum (Cockerell, 1937)"
"Lasioglossum diversopunctatum (Ellis, 1914)"
"Hylaeus polifolii (Cockerell, 1901)"
"Anthophora edwardsii Cresson, 1879"
"Diadasia rinconis mimetica (Cockerell, 1924)"
"Perdita layiae layiae"
"Diadasia rinconis Cockerell, 1897"
"Eucera actuosa (Cresson, 1879)"
"Anthophora californica Cresson, 1869"
"Ceratina acantha Provancher, 1895"
"Epeolus minimus (Robertson, 1902)"
"Colletes hyalinus gaudialis Cockerell, 1905"
"Lasioglossum trizonatum (Cresson, 1874)"
"Eucera edwardsii (Cresson, 1879)"
"Diadasia bituberculata (Cresson, 1879)"
"Anthidium collectum Huard, 1896"
"Osmia laeta Sandhouse, 1924"
"Anthophora urbana clementina Cockerell, 1939"
"Diadasia opuntiae Cockerell, 1901"
"Synhalonia actuosa (Cresson, 1879)"
"Ashmeadiella cactorum (Cockerell, 1897)"
"Lasioglossum pavonotum (Cockerell, 1925)"
"Habropoda miserabilis (Cresson, 1879)"
"Augochlorella pomoniella (Cockerell, 1915)"
"Lasioglossum argemonis (Cockerell, 1897)"
"Lasioglossum ovaliceps (Cockerell, 1898)"
"Lasioglossum nigrescens (Crawford, 1907)"
"Lasioglossum channelense McGinley, 1986"
"Lasioglossum avalonense (Cockerell, 1938)"
"Lasioglossum pilosicaudum (Cockerell, 1937)"
"Lasioglossum californiae (Ellis, 1924)"
"Lasioglossum megastictum (Cockerell, 1937)"
"Anthophorula nitens (Cockerell, 1915)"
"Anthidium maculosum Cresson, 1878"
"Osmia nemoris Sandhouse, 1924"
"Osmia gabrielis Cockerell, 1910"
"Osmia tristella Cockerell, 1897"
"Osmia trevoris Cockerell, 1897"
"Andrena perimelas Cockerell, 1905"
"Andrena sola Viereck, 1917"
"Andrena auricoma Smith, 1879"
"Andrena nigrocaerulea Cockerell, 1897"
"Perdita layiae Cockerell, 1938"
"Ceratina nanula Cockerell, 1897"
"Andrena aquila LaBerge, 1971"
"Andrena labergei Ribble, 1968"
"Dioxys producta cismontanica Hurd, 1958"
"Melecta separata callura (Cockerell, 1926)"
"Synhalonia edwardsii (Cresson, 1879)"
"Lasioglossum kincaidii (Cockerell, 1898)"
"Osmia clarescens Cockerell, 1911"
"Andrena vandykei Cockerell, 1936"
"Perdita interrupta Cresson, 1878"
"Andrena bernardina Linsley, 1938"
"Andrena buccata LaBerge, 1971"
"Andrena burkelli Bingham, 1908"
"Andrena cheyennorum Viereck & Cockerell, 1914"
"Andrena lepidii Ribble, 1968"
"Andrena mohavensis Ribble, 1974"
"Megachile montivaga Cresson, 1878"
"Eucera cordleyi (Viereck, 1905)"
"Lasioglossum miguelense (Cockerell, 1937)"
"Hoplitis hypocrita (Cockerell, 1906)"
"Anthocopa copelandica (Cockerell, 1908)"
"Andrena suavis Timberlake, 1938"
"Andrena illinoiensis Robertson, 1891"
"Ashmeadiella californica (Ashmead, 1897)"
"Andrena nigroclypeata Linsley, 1939"
"Andrena prima Casad, 1896"
"Andrena quercina Cockerell, 1939"
"Eucera frater (Cresson, 1879)"
"Andrena biareola LaBerge, 1971"
"Andrena blaisdelli Cockerell, 1924"
"Andrena forbesii Robertson, 1891"
"Andrena gordoni Ribble, 1974"
"Andrena mojavensis Linsley & MacSwain, 1955"
"Andrena salictaria Robertson, 1905"
"Bombus balteatus Dahlbom, 1832"
"Lasioglossum mellipes (Crawford, 1907)"
"Eucera frater albopilosa (Fowler, 1899)"
