"","scientificName","WKT","institutionCode","basisOfRecord","occurrenceID","catalogNumber","eventDate","year","month","day","georeferenceVerificationStatus","kingdom","phylum","class","order","family","scientific_name","subgenus","accepted_name","decimalLatitude","decimalLongitude"
"1","Triepeolus coquilletti Cockerell, 1905","POINT (-116.179 34.8416)","USNM","PRESERVED_SPECIMEN","http://n2t.net/ark:/65665/3cb1aa404-8b44-4716-b333-0d80530ee30f","USNM 534624","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Triepeolus coquilletti",NA,"Triepeolus coquilletti",34.8416,-116.179
"2","Bombus vosnesenskii Radoszkowski, 1862","POINT (-117.65 34.9994)","USNM","PRESERVED_SPECIMEN","http://n2t.net/ark:/65665/38db209b1-1a49-4211-97c7-882294b371f7","USNMENT740903","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus vosnesenskii",NA,"Bombus vosnesenskii",34.9994,-117.65
"3","Apis mellifera Linnaeus, 1758","POINT (-115.994 33.7433)","USNM","PRESERVED_SPECIMEN","http://n2t.net/ark:/65665/3a900b6ca-c87c-415c-bf50-c774857a42c2","USNMENT1143417","1974-04-04T00:00:00",1974,4,4,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis mellifera",NA,"Apis mellifera",33.7433,-115.994
"4","Xylocopa californica Cresson, 1864","POINT (-116.105532 34.10631)","iNaturalist","HUMAN_OBSERVATION","https://www.inaturalist.org/observations/74107953","74107953","2021-04-05T08:22:00",2021,4,5,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Xylocopa californica",NA,"Xylocopa californica",34.10631,-116.105532
"5","Dieunomia nevadensis (Cresson, 1874)","POINT (-116.106993 36.088269)","iNaturalist","HUMAN_OBSERVATION","https://www.inaturalist.org/observations/71255722","71255722","2018-06-29T12:09:51",2018,6,29,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Dieunomia nevadensis",NA,"Dieunomia nevadensis",36.088269,-116.106993
"6","Centris rhodopus Cockerell, 1897","POINT (-115.676698 35.003203)","iNaturalist","HUMAN_OBSERVATION","http://www.inaturalist.org/observations/2657302","2657302","2005-07-18T14:43:23",2005,7,18,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Centris rhodopus",NA,"Centris rhodopus",35.003203,-115.676698
"7","Xylocopa tabaniformis orpifex Smith, 1874","POINT (-117.287672 34.50953)","iNaturalist","HUMAN_OBSERVATION","https://www.inaturalist.org/observations/72194706","72194706","2021-03-27T12:00:00",2021,3,27,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Xylocopa tabaniformis",NA,"Xylocopa tabaniformis",34.50953,-117.287672
"8","Brachymelecta larreae (Cockerell, 1900)","POINT (-115.871858 35.202447)","iNaturalist","HUMAN_OBSERVATION","https://www.inaturalist.org/observations/23249819","23249819","2019-04-26T10:16:34",2019,4,26,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Xeromelecta larreae",NA,"Xeromelecta larreae",35.202447,-115.871858
"9","Hesperapis laticeps Crawford, 1917","POINT (-117.09 35.6838)","USNM","PRESERVED_SPECIMEN","http://n2t.net/ark:/65665/35c4b5f6d-eada-4f9b-833c-3b8c0c3d96eb","USNM 533844","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Melittidae","Hesperapis laticeps",NA,"Hesperapis laticeps",35.6838,-117.09
"10","Perdita proxima Timberlake, 1958","POINT (-117.291 34.5361)","USNM","PRESERVED_SPECIMEN","http://n2t.net/ark:/65665/3b9cfcac4-f605-40a9-98bf-b7429257ca05","USNM 532877","1927-10-23T00:00:00",1927,10,23,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Perdita proxima",NA,"Perdita proxima",34.5361,-117.291
"11","Centris hoffmanseggiae Cockerell, 1897","POINT (-117.092108 36.429477)","ASU","PRESERVED_SPECIMEN","9ed8c2fd-56b0-4d84-bf25-7d6cb9deab56","ASUHIC0084284","1968-04-11T00:00:00",1968,4,11,"requires verification","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Centris hoffmanseggiae",NA,"Centris hoffmanseggiae",36.429477,-117.092108
"12","Stelis perpulchra Crawford, 1916","POINT (-117.092108 36.429477)","ASU","PRESERVED_SPECIMEN","c46983d5-0f8f-4011-a5ec-dcbc293fc9e2","ASUHIC0004875","1968-04-11T00:00:00",1968,4,11,"requires verification","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Stelis perpulchra",NA,"Stelis perpulchra",36.429477,-117.092108
"13","Xylocopa sonorina Smith, 1874","POINT (-117.286819 34.409236)","iNaturalist","HUMAN_OBSERVATION","https://www.inaturalist.org/observations/16997916","16997916","2018-09-28T09:11:17",2018,9,28,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Xylocopa sonorina",NA,"Xylocopa sonorina",34.409236,-117.286819
"14","Perdita minima Cockerell, 1923","POINT (-117.258254 34.545648)","iNaturalist","HUMAN_OBSERVATION","https://www.inaturalist.org/observations/51142370","51142370","2020-06-27T10:27:00",2020,6,27,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Perdita minima",NA,"Perdita minima",34.545648,-117.258254
